,_id,NOME_DA_CACHAÇA,DESCRIÇÃO_DA_CACHAÇA,PREMIOS,DATA_COLETA,LINK
0,610ffca7eebf01ee37777d6e,Cachaça Sagatiba Cristalina,"A cachaça que reinventou a cachaça
Sagatiba Cristalina é aquela cachaça brasileira que você já conhece, só que diferente.
Ela é feita com um moderno e inovador processo de destilação (a primeira marca a produzir dessa maneira!): a Multidestilação. Nesse processo, destilamos a cachaça mais de uma vez, separando qualquer impureza. O resultado é um líquido puro e cristalino, que cai bem com qualquer mistura, desde a tradicional caipirinha até drinks!","San Francisco World Spirits Competition
Medalha Bronze
O San Francisco World Spirits Competition experimentou e avaliou líquidos de todo o mundo, em busca de bebidas excepcionais. Com a conquista de uma medalha de Bronze na competição de 2017, Sagatiba Cristalina mostrou a que veio, reafirmando sua posição entre as melhores bebidas da categoria.
NY International Spirits Competition
Medalha Silver
O New York International Spirits Competition é um renomado prêmio internacional, que conta com um júri seleto, composto exclusivamente por especialistas envolvidos no mercado. Este ano, Sagatiba Cristalina se consagrou na premiação, convertendo o seu sabor e aroma únicos em uma importantíssima medalha Silver!
Blue Lifestyle Seal Of Approval
92 pontos
Todos os anos, no prêmio Blue Lifestyle, mais de 5.500 bebidas são avaliadas por Anthony Dias Blue, especialista renomado por seu conhecimento de bebidas destiladas. Na premiação, somente as melhores bebidas ganham o selo Seal Of Approval e, em 2017, Sagatiba Cristalina não só foi selecionada como recebeu a medalha Gold, com uma pontuação excelente, ressaltando sua qualidade e sabor únicos.",8/8/2021 - 12:47:51,http://sagatiba.com/
1,610ffca7eebf01ee37777d6f,"Cachaça Sagatiba Mel, lima e limão","Redescobrimos a cachaça mel e limão. Reinventamos com lima!
Sagatiba que sempre reinventa, traz agora mais uma novidade: a nova Sagatiba Mel, Lima e Limão, que acrescenta a Lima modernizando a mistura! Geladinha é refrescante e pronta para a festa!",8/8/2021 - 12:47:51,http://sagatiba.com/
2,610ffca7eebf01ee37777d70,Cachaça Sagatiba Envelhecida,"A expressão do tradicional com o moderno.
Feita de modo artesanal, em pequenos lotes no interior de Minas Gerais, seu processo foi aperfeiçoado para criar um líquido único.
A cana-de-açúcar fresca é moída em menos de 24 horas após a colheita, fresquinha. É fermentada com uma levedura única, destilada em alambique de cobre e envelhecida por, pelo menos, dois anos em barris de carvalho americano, com torrefação intensa (ex-Bourbon). Isso permite que o líquido penetre na madeira, extraindo mais sabor, aroma e cor.","Tastings - Beverage Testing Institute
Medalha Gold
A Tastings, criada pelo Beverage Testing Institute, foi fundada em 1981 com a missão de experimentar e avaliar as melhores bebidas do mundo. Com uma pontuação excepcional, Sagatiba Envelhecida conquistou uma medalha Gold de 95 pontos. Reconhecendo seu sabor e qualidade únicos!
San Francisco World Spirits Competition
Medalha Silver
O San Francisco World Spirits Competition experimentoue avaliou líquidos de todo o mundo, em busca de bebidas excepcionais. Na premiação de 2017, Sagatiba Envelhecida foi considerada uma bebida complexa e refinada, conquistando uma medalha Silver
NY International Spirits Competition
Medalha Silver
O New York International Spirits Competition é um renomado prêmio internacional, que conta com um júri seleto, composto exclusivamente por especialistas envolvidos no mercado. Na última premiação, em 2017, Sagatiba Envelhecida recebeu uma medalha Silver, resultado de todo o cuidado com a qualidade que só uma cachaça feita artesanalmente poderia ter.",8/8/2021 - 12:47:51,http://sagatiba.com/
3,610ffca7eebf01ee37777d71,Cachaça Sagatiba Preciosa,"Edição limitada. Exclusiva. Superlativa.
Sagatiba Preciosa é uma edição limitada de uma cachaça destilada em 1982 e envelhecida por 23 anos. Já deu pra entender o quanto essa cachaça é especial, né?
O líquido foi filtrado e purificado para preservar e destacar as características originais, como o aroma e o sabor.
                              O resultado é uma cachaça superpremium de cor levemente dourada, com 42% de graduação alcoólica.
                              Sua garrafa foi desenvolvida com exclusividade pela Saverglass de Paris, considerada a mais tradicional e renomada empresa de embalagens de vidros em todo o mundo.","Tastings - Beverage Testing Institute
Medalha Platinum
A Tastings, criada pelo Beverage Testing Institute, foi fundada em 1981 com a missão de experimentar e avaliar as melhores bebidas do mundo. Com 98 pontos na avaliação de 2017, Sagatiba Preciosa foi consagrada com uma medalha Platinum, a maior classificação de toda a premiação, reafirmando o seu sabor inigualável, a única Cachaça a conquistar tal prêmio!
Prêmio NY International Spirits Competition
Medalha Gold e Aged Cachaça of The Year
O New York International Spirits Competition é um renomado prêmio internacional, que conta com um júri seleto, composto exclusivamente por especialistas envolvidos no mercado. Em sua primeira inscrição na premiação, em 2017, Sagatiba Preciosa foi considerada a Aged Cachaça of The Year, além de conquistar uma merecida medalha Gold.
Blue Lifestyle Seal Of Approval
94 pontos
Todos os anos, no prêmio Blue Lifestyle, mais de 5.500 bebidas são avaliadas por Anthony Dias Blue, especialista renomado por seu conhecimento de bebidas destiladas. Na premiação, somente as melhores bebidas ganham o selo Seal Of Approval e, em 2017, Sagatiba Preciosa foi prestigiada com uma medalha Double Gold. Com uma pontuação de 94, provou que é, sem dúvidas, uma das cachaças mais excepcionais da categoria.",8/8/2021 - 12:47:51,http://sagatiba.com/
