,_id,NOME_DA_CACHAÇA,PREÇO,DESCRIÇÃO_DA_CACHAÇA,VOLUME,PREMIOS,LINK,DATA_COLETA
0,60b27c66e3fb3abbfcfd9a8c,WIBA Tropicália Ginger,"R$49,00","  Sobre a WIBA Tropicália Ginger Após experimentar o delicioso melado cítrico numa visita a Ilhabela, Wilson Barros, produtor e diretor da cachaça WIBA!, não teve dúvida em reproduzir a “gengibrada”, uma receita centenária originária de Ilhabela. Na época colonial, a região era conhecida pelas aguardentes, mas pelo alto teor alcoólico e para agradar os paladares dos banquetes palacianos, a bebida era misturada. A mais popular levava aguardente, gengibre, limão e açúcar. Há indícios de que era muito apreciada pela Princesa Isabel, a qual especula-se que tinha uma casa lá. A WIBA! Tropicália Ginger é uma releitura desse néctar. O resultado é uma bebida extremamente aromática. No paladar, tem dulçor equilibrado, notas cítricas do limão e uma leve e agradável picância, fiel à receita original dos antigos caiçaras. Todos os ingredientes são naturais, não utilizamos corantes e nem conservantes.   Sugestão de Consumo: Em shots, ou prepare o Ginger Tônica. Em um copo long drink, encha de gelo até a borda, esprema metade de um limão, adicione 60ml de WIBA! Tropicália Ginger e complete com água tônica. Tá pronto!     Tradição e modernidade no rótulo  A identidade visual do produto segue o conceito da marca WIBA!, ao romper com os rótulos que remetem aos engenhos ou ao período colonial, já demasiadamente explorados no mercado – ainda que a origem da bebida esteja centrada nestes dois universos. Respeitando a tradição e a história da Gengibrada, mas moderno, colorido, o rótulo original foi criado por uma designer tcheca que se encantou com as belezas de Ilhabela (e com a Gengibrada) – a protagonista do desenho é seu próprio autoretrato. As ondas e sua vestimenta representam a liberdade e a fluidez dos climas praianos. Já o nome “Tropicália” é referência explícita ao movimento musical dos anos 60, que injetou novos ares na MPB sem desprezar a tradicional cultura brasileira, criando uma nova estética; dessa forma, o complemento “Ginger”(gengibre, em inglês) surge para amarrar o conceito. Viva a Tropicália. Viva a liberdade e a fluidez dos climas praianos, aqui, agora.   https://cachacawiba.com.br/wiba/wp-content/uploads/2019/06/WIBA_TROPICALIA_MASTER_FINAL_H264_EFEITO.mp4   ",,,https://cachacawiba.com.br/wiba/produto/wiba-tropicalia-ginger/,28/05/2021 20:12
1,60b27c68e3fb3abbfcfd9a8f,WiBA! Blend de Carvalhos Premium 670ml,"R$80,00"," Essa WIBA!  Blend de Carvalhos Premium é uma combinação de cachaças envelhecidas 3 anos em tonéis de carvalho americano, com nível de tosta variando de 1 a 4. Traz três vezes mais perceptíveis as notas amadeiradas, baunilhadas e frutadas. Fica irresistível com frutas secas como abacaxi desidratado, tâmaras, ameixas e damasco secos.   ",670," Medalha de Ouro 2017 na Categoria Premium como a melhor Cachaça do Estado de São Paulo no concurso “Cachaça com Ciência” da APTA (Agência Paulista de Tecnologia dos Agronegócios).
 Medalha de Ouro no Concurso Mundial de Bruxelas 2018.
 1º lugar no Ranking de Cachaças da Go’Where Gastronomia e Jovem Pan 2018.
   ",https://cachacawiba.com.br/wiba/produto/wiba-blend-de-carvalhos-premium-670ml-3-anos/,28/05/2021 20:12
2,60b27c68e3fb3abbfcfd9a93,WIBA! Blend de Carvalhos 670ml,"R$63,00","  Esta WIBA!  é o resultado de uma cuidadosa combinação de cachaças armazenadas em tonéis de carvalho americano novos, com nível de tosta variando de 1 a 4. Traz notas amadeiradas, baunilhadas e frutadas. Fica irresistível com carnes ou acompanhada por frutas doces e vermelhas com temperos como açúcares, chocolate, pimenta e mel. Diminuímos a concentração de Aldeídos, o vilão da ressaca.   Certificada pelo atestado de análise da ESALQ-USP.   Eleita por voto popular como uma das 250 melhores cachaças do Brasil pelo 3º Ranking da Cúpula da Cachaça.   ",670," Eleita por especialistas uma das 50 melhores cachaças do Brasil pelo 4º ranking da Cúpula da Cachaça.
 Medalha de Prata no IAC 2018 (Instituto Agronômico de Campinas).
   ",https://cachacawiba.com.br/wiba/produto/wiba-blend-de-carvalhos-670ml/,28/05/2021 20:13
3,60b27c68e3fb3abbfcfd9a94,WIBA! Senses Premium 750ml,"R$190,00"," WIBA! Senses. Quando duas madeiras se juntam, boas histórias estão por vir. Com três anos de envelhecimento, você sentirá a suavidade do Carvalho Americano com as notas adocicadas da madeira de Amburana. Uma interação perfeita entre olfato e paladar. Sinta cada gole e redescubra o sabor da baunilha, das frutas secas e especiarias presentes neste Blend. As garrafas foram importadas da França e são numeradas a um lote restrito de 01 a 897 unidades. Uma cachaça única, para poucos apreciadores. ",750," Medalha de Prata no Concurso Mundial de Bruxelas 2018 Medalha de Prata no IAC 2018 (Instituto Agronômico de Campinas).
 5º lugar no Ranking de Cachaças da Go’Where Gastronomia e Jovem Pan 2018.
   x  Fique por dentro das novidades! Cadastre-se e receba 10% de desconto em sua primeira compra no site                UFACALAMAPBACEDFESGOMAMGMSMTPAPBPEPIPRRJRNRORRRSSCSESPTO     ",https://cachacawiba.com.br/wiba/produto/wiba-senses-premium-750ml/,28/05/2021 20:13
4,60b27c68e3fb3abbfcfd9a96,WIBA! Amburana 670ml,"R$59,00"," Esta WIBA! é a tradicional cachaça armazenada em tonéis de Amburana. Você sentirá a marcante presença de madeira e floral que tanto agrada os apreciadores da clássica cachaça. É uma delícia pura ou harmonizada com pratos tradicionais da culinária brasileira. Cai muito bem com frutas doces e cítricas. Temperos como hortelã e manjericão realçam ainda mais o seu sabor Diminuímos a concentração de Aldeídos, o vilão da ressaca. Certificada pelo atestado de análise da ESALQ-USP. Eleita por voto popular como uma das 250 melhores cachaças do Brasil pelo 3º Ranking da Cúpula da Cachaça.   ",670," Medalha de Ouro no 17º concurso de Vinhos e Destilados do Brasil 2019.
   ",https://cachacawiba.com.br/wiba/produto/wiba-amburana-670ml/,28/05/2021 20:13
5,60b27c68e3fb3abbfcfd9a97,WIBA! Branca 670ml,"R$54,00"," Esta WIBA!  descansou em dornas de inox, o que a deixou suave, com aroma frutado. Ela é deliciosa pura e perfeita para o preparo de drinks. Diminuímos a concentração de Aldeídos, o vilão da ressaca. Certificada pelo atestado de análise da ESALQ-USP. Eleita por voto popular como uma das 250 melhores cachaças do Brasil pelo 3º Ranking da Cúpula da Cachaça.   ",670," Medalha de Prata no 17º concurso de Vinhos e Destilados do Brasil 2019.
   ",https://cachacawiba.com.br/wiba/produto/wiba-branca-670ml/,28/05/2021 20:13
